Publisher,Software Title,Category,Consumption %,Utilisation %,Contract Start,Contract End,ACV (USD),TCV (USD),Contract Owner,Key Stakeholders,
Microsoft,Microsoft 365 E5,Productivity,94,78,01-01-2025,31-12-2028,1850000,5550000,IT Operations,All Departments,
Microsoft,Azure Enterprise Agreement,Cloud Infrastructure,88,71,01-04-2025,31-03-2028,3200000,9600000,Cloud Operations,Engineering / DevOps / IT,
Microsoft,GitHub Enterprise,Developer Tools,72,65,01-07-2025,30-06-2027,480000,960000,Engineering,Engineering / DevOps,
Microsoft,Power BI Premium,Analytics,61,44,01-01-2025,31-12-2027,320000,640000,Finance,Finance / Strategy / PMO,
Microsoft,Microsoft Visio,Diagramming,38,22,01-03-2025,28-02-2027,180000,180000,PMO,PMO / Architecture,
Salesforce,Salesforce CRM,CRM,91,83,01-07-2025,30-06-2027,920000,2760000,Sales Operations,Sales / Marketing / CS,
Salesforce,Salesforce Marketing Cloud,Marketing Automation,67,51,01-01-2025,31-12-2027,540000,1080000,Marketing,Marketing / Digital,
Salesforce,Tableau Desktop,Analytics,58,41,01-10-2025,30-09-2027,540000,1080000,Finance,Finance / Sales / Strategy,
ServiceNow,ServiceNow ITSM,IT Service Management,97,91,01-01-2025,31-12-2029,1450000,7250000,IT Director,IT / HR / Facilities,
ServiceNow,ServiceNow HRSD,HR Service Delivery,74,62,01-04-2025,31-03-2027,680000,1360000,HR Director,HR / People Operations,
Workday,Workday HCM,HR Platform,96,89,01-06-2024,31-05-2029,2100000,10500000,CHRO,HR / Finance / Legal,
Workday,Workday Financials,Finance Platform,93,87,01-06-2024,31-05-2029,1800000,9000000,CFO,Finance / Accounting / Audit,
Splunk,Splunk Enterprise,Security & Observability,98,94,01-03-2025,28-02-2027,2100000,6300000,CISO,IT Security / NOC / Engineering,
CrowdStrike,CrowdStrike Falcon,Endpoint Security,99,97,01-01-2025,31-12-2028,950000,2850000,CISO,IT Security / All Endpoints,
Okta,Okta SSO,Identity & Access,99,96,01-01-2025,31-12-2028,420000,1260000,IT Operations,All Departments,
Palo Alto Networks,Prisma Cloud,Cloud Security,81,73,01-06-2025,31-05-2027,780000,1560000,CISO,Cloud / DevSecOps / Engineering,
Zoom,Zoom Workplace,Collaboration,87,69,01-01-2025,31-12-2027,380000,760000,IT Operations,All Departments,
Cisco,Webex Suite,Collaboration,71,54,01-09-2025,31-08-2027,280000,560000,IT Operations,IT / Sales / Customer Success,
Atlassian,Jira Software,Project Management,89,82,01-01-2025,31-12-2027,180000,360000,Engineering,Engineering / PMO / QA,
Atlassian,Confluence,Knowledge Management,76,58,01-01-2025,31-12-2027,120000,240000,IT Operations,All Departments,
Oracle,NetSuite ERP,ERP,95,91,01-01-2024,31-12-2029,3200000,19200000,CFO,Finance / Operations / Supply Chain,
SAP,SAP Concur,Travel & Expense,82,74,01-07-2025,30-06-2027,480000,1440000,Finance,Finance / HR / All Travelers,
Adobe,Adobe Creative Cloud,Design & Creative,64,48,01-01-2025,31-12-2027,280000,560000,Marketing,Marketing / Design / Communications,
Slack,Slack Business+,Messaging,91,84,01-01-2025,30-06-2027,220000,330000,Engineering,Engineering / Product / Sales,
DocuSign,DocuSign CLM,Contract Management,77,61,01-03-2025,28-02-2027,240000,480000,Legal,Legal / Sales / Finance,
Zendesk,Zendesk Suite,Customer Support,88,79,01-10-2025,30-09-2027,520000,1040000,CS Director,Customer Success / Support,
Miro,Miro Enterprise,Visual Collaboration,56,39,01-01-2025,31-12-2027,140000,280000,Strategy,Strategy / Product / PMO,
Asana,Asana Business,Work Management,48,31,01-06-2025,31-05-2027,160000,320000,Marketing,Marketing / Operations / PMO,
Snyk,Snyk Enterprise,Developer Security,73,67,01-04-2025,31-03-2027,360000,720000,Engineering,Engineering / DevSecOps,
HashiCorp,Terraform Enterprise,Infrastructure as Code,79,72,01-01-2025,31-12-2027,420000,840000,Cloud Operations,Engineering / DevOps / Cloud,
Datadog,Datadog Pro,Monitoring & APM,86,81,01-03-2025,28-02-2027,680000,1360000,Engineering,Engineering / SRE / NOC,
PagerDuty,PagerDuty Business,Incident Management,84,78,01-01-2025,31-12-2027,240000,480000,IT Operations,IT / Engineering / NOC,
Elastic,Elastic Enterprise,Search & Analytics,69,55,01-07-2025,30-06-2027,380000,760000,Engineering,Engineering / Data / IT Security,
Lucid,Lucidchart Enterprise,Diagramming,44,28,01-01-2025,31-12-2027,120000,240000,PMO,PMO / Architecture / Engineering,
Veracode,Veracode Platform,Application Security,66,52,01-04-2025,31-03-2027,280000,560000,CISO,Engineering / DevSecOps / QA,
